City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yulara,AU,-25.2406,130.9889,62.6,55,1,5.75,clear sky
1,Jamestown,US,42.097,-79.2353,66.2,45,20,3.44,few clouds
2,Kapaa,US,22.0752,-159.319,75.2,57,75,23.02,broken clouds
3,Bonito,BR,-21.1211,-56.4819,79.61,50,92,5.77,overcast clouds
4,Ribeira Grande,PT,38.5167,-28.7,60.48,86,13,8.86,few clouds
5,Padang,ID,-0.9492,100.3543,75.2,94,20,2.3,moderate rain
6,Albany,US,42.6001,-73.9662,63.0,23,20,8.05,few clouds
7,Zhigansk,RU,66.7697,123.3711,-7.55,99,97,11.99,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,51.8,66,75,6.26,light rain
9,Port Alfred,ZA,-33.5906,26.891,63.95,86,57,13.53,broken clouds
10,Constitucion,CL,-35.3333,-72.4167,57.56,84,97,5.08,overcast clouds
11,Yellowknife,CA,62.456,-114.3525,19.4,73,90,14.97,light snow
12,Georgetown,MY,5.4112,100.3354,79.0,94,20,5.1,few clouds
13,Pevek,RU,69.7008,170.3133,-13.95,97,100,6.26,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,77.29,70,9,8.88,clear sky
15,Tanout,NE,14.9709,8.8879,82.87,9,77,8.5,broken clouds
16,Saskylakh,RU,71.9167,114.0833,8.69,95,100,6.82,overcast clouds
17,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,68,40,5.75,scattered clouds
18,Tuatapere,NZ,-46.1333,167.6833,57.0,83,86,8.01,overcast clouds
19,Qasigiannguit,GL,68.8193,-51.1922,17.6,79,90,8.05,overcast clouds
20,Bethel,US,41.3712,-73.414,66.2,24,1,12.66,clear sky
21,Barrow,US,71.2906,-156.7887,-2.2,71,20,9.22,few clouds
22,Yashalta,RU,46.3395,42.2762,46.27,63,91,11.23,overcast clouds
23,Bandarbeyla,SO,9.4942,50.8122,77.72,63,84,8.86,broken clouds
24,Tuy Hoa,VN,13.0833,109.3,73.8,92,87,3.47,overcast clouds
25,Emmauss,RU,56.7805,36.115,34.0,88,100,5.79,snow
26,Umarkot,PK,25.3616,69.7362,77.74,59,0,10.85,clear sky
27,New Norfolk,AU,-42.7826,147.0587,55.99,85,39,5.99,scattered clouds
28,Husavik,IS,66.0449,-17.3389,15.8,62,0,2.3,clear sky
29,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,75,10.36,broken clouds
30,Tefe,BR,-3.3542,-64.7114,82.4,83,20,5.75,few clouds
31,Kununurra,AU,-15.7667,128.7333,71.6,100,60,1.5,broken clouds
32,Khatanga,RU,71.9667,102.5,-12.71,100,99,6.24,overcast clouds
33,Mar Del Plata,AR,-38.0023,-57.5575,70.0,94,40,11.5,mist
34,Clyde River,CA,70.4692,-68.5914,14.0,57,20,3.15,few clouds
35,Boyabat,TR,41.4689,34.7667,60.4,50,100,3.33,overcast clouds
36,Meulaboh,ID,4.1363,96.1285,76.8,85,99,2.62,overcast clouds
37,Hermanus,ZA,-34.4187,19.2345,57.99,92,19,1.99,few clouds
38,Yenagoa,NG,4.9247,6.2642,78.35,91,46,3.94,scattered clouds
39,Bonthe,SL,7.5264,-12.505,79.2,82,21,3.38,moderate rain
40,Fortuna,US,40.5982,-124.1573,57.0,71,1,17.27,clear sky
41,Tonekabon,IR,36.8163,50.8738,55.4,88,90,4.61,overcast clouds
42,Ahipara,NZ,-35.1667,173.1667,67.8,62,100,8.66,overcast clouds
43,Cabo San Lucas,MX,22.8909,-109.9124,80.6,50,1,4.61,clear sky
44,Atambua,ID,-9.1061,124.8925,75.7,82,80,0.31,broken clouds
45,Bud,US,39.447,-86.1758,77.0,41,40,10.36,scattered clouds
46,San Policarpo,PH,12.1791,125.5072,78.89,79,68,13.56,broken clouds
47,Saint Anthony,US,45.0205,-93.218,66.0,68,75,6.91,broken clouds
48,Bluff,NZ,-46.6,168.3333,57.0,83,100,8.01,overcast clouds
49,Atuona,PF,-9.8,-139.0333,81.05,77,81,10.58,broken clouds
50,Nikolskoye,RU,59.7035,30.7861,35.01,80,0,8.95,clear sky
51,Grindavik,IS,63.8424,-22.4338,24.8,68,0,3.44,clear sky
52,Springbok,ZA,-29.6643,17.8865,63.34,51,0,2.53,clear sky
53,Mataura,NZ,-46.1927,168.8643,57.0,83,100,8.01,overcast clouds
54,Saint-Pierre,RE,-21.3393,55.4781,77.0,69,0,5.75,clear sky
55,Mayumba,GA,-3.432,10.6554,78.55,89,100,5.88,overcast clouds
56,Busselton,AU,-33.65,115.3333,60.01,98,81,1.01,broken clouds
57,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,9.22,clear sky
58,Lebanon,US,36.2081,-86.2911,80.6,36,40,8.05,scattered clouds
59,Hobart,AU,-42.8794,147.3294,55.99,82,20,10.36,few clouds
60,Ilulissat,GL,69.2167,-51.1,17.6,79,90,8.05,overcast clouds
61,Asau,RO,46.4333,26.4,37.99,59,96,0.63,light rain
62,Ostrovnoy,RU,68.0531,39.5131,30.18,86,100,18.16,overcast clouds
63,Cefalu,IT,38.0386,14.0229,55.99,68,0,11.01,clear sky
64,Goure,NE,13.9835,10.2704,82.02,12,55,6.35,broken clouds
65,Qaanaaq,GL,77.484,-69.3632,-0.81,82,100,2.28,overcast clouds
66,Kruisfontein,ZA,-34.0033,24.7314,55.99,94,66,5.95,broken clouds
67,Bambous Virieux,MU,-20.3428,57.7575,77.0,94,75,3.44,broken clouds
68,Srednekolymsk,RU,67.45,153.6833,-4.7,82,87,9.01,overcast clouds
69,Sitka,US,57.0531,-135.33,35.6,87,90,8.05,light rain
70,Torbay,CA,47.6666,-52.7314,37.99,100,90,11.5,light rain
71,Ponta Do Sol,PT,32.6667,-17.1,61.0,68,10,5.01,clear sky
72,Pathein,MM,16.7833,94.7333,74.28,92,7,4.34,clear sky
73,Faanui,PF,-16.4833,-151.75,80.65,62,60,11.99,broken clouds
74,Sayyan,YE,15.1718,44.3244,54.25,19,16,4.38,few clouds
75,Manggar,ID,-2.8833,108.2667,78.53,85,80,5.48,broken clouds
76,Yarada,IN,17.65,83.2667,78.8,89,20,2.3,mist
77,Hilo,US,19.7297,-155.09,69.8,83,90,5.75,moderate rain
78,Quatre Cocos,MU,-20.2078,57.7625,77.0,94,75,3.44,broken clouds
79,Upernavik,GL,72.7868,-56.1549,5.13,92,100,14.74,overcast clouds
80,Lingao,CN,19.9103,109.6859,72.86,90,45,10.6,scattered clouds
81,Phulji,PK,26.8825,67.6807,77.22,21,0,5.66,clear sky
82,La Reforma,MX,25.0833,-108.05,87.01,52,17,5.99,few clouds
83,Kavaratti,IN,10.5669,72.642,82.63,75,44,7.74,scattered clouds
84,Hay River,CA,60.8156,-115.7999,19.4,79,100,9.22,overcast clouds
85,Leningradskiy,RU,69.3833,178.4167,-4.25,88,56,8.93,broken clouds
86,Dikson,RU,73.5069,80.5464,-7.33,100,92,6.62,overcast clouds
87,Necochea,AR,-38.5473,-58.7368,71.01,75,6,5.99,clear sky
88,Lebu,CL,-37.6167,-73.65,57.49,90,100,6.26,overcast clouds
89,Jalgaon,IN,21.0167,75.5667,83.59,27,0,9.8,clear sky
90,America Dourada,BR,-11.4553,-41.4361,74.17,67,15,10.76,few clouds
91,Comodoro Rivadavia,AR,-45.8667,-67.5,64.4,77,20,1.14,few clouds
92,Ormara,PK,25.2088,64.6357,81.01,36,0,8.72,clear sky
93,Bengkulu,ID,-3.8004,102.2655,73.69,86,76,4.25,broken clouds
94,Awjilah,LY,29.1081,21.2869,61.79,69,80,12.53,broken clouds
95,Labuhan,ID,-6.8844,112.2051,77.5,87,98,6.38,light rain
96,Kodiak,US,57.79,-152.4072,41.0,48,1,13.8,clear sky
97,Kavieng,PG,-2.5744,150.7967,80.2,80,100,7.09,light rain
98,Klaksvik,FO,62.2266,-6.589,26.6,74,75,20.71,light rain
99,Sao Filipe,CV,14.8961,-24.4956,75.22,65,0,9.17,clear sky
100,Kyren,RU,51.6828,102.1408,35.11,56,61,2.3,broken clouds
101,Bathsheba,BB,13.2167,-59.5167,80.6,61,40,12.66,scattered clouds
102,Touros,BR,-5.1989,-35.4608,80.6,74,0,8.05,clear sky
103,Esperance,AU,-33.8667,121.9,64.4,100,90,5.75,overcast clouds
104,Pangnirtung,CA,66.1451,-65.7125,10.4,72,20,4.61,few clouds
105,Punta Arenas,CL,-53.15,-70.9167,48.2,87,75,11.5,broken clouds
106,Geraldton,AU,-28.7667,114.6,68.0,83,60,4.61,broken clouds
107,Bredasdorp,ZA,-34.5322,20.0403,59.0,94,43,2.64,scattered clouds
108,Havre,FR,49.5833,0.3333,37.4,70,40,10.36,scattered clouds
109,Ixtapa,MX,20.7,-105.2,80.6,69,1,11.5,clear sky
110,Bhandaria,BD,22.4861,90.0609,73.78,81,0,5.82,clear sky
111,Richards Bay,ZA,-28.783,32.0377,69.87,91,81,6.42,light rain
112,Verkhoyansk,RU,67.5447,133.385,-10.66,93,52,3.06,broken clouds
113,Eyrarbakki,IS,63.863,-21.1481,26.6,59,0,4.61,clear sky
114,Vieques,PR,18.425,-65.8329,78.8,78,75,12.66,broken clouds
115,Sitia,GR,35.2,26.0986,57.0,79,2,5.59,clear sky
116,Akureyri,IS,65.6835,-18.0878,15.8,62,0,2.3,clear sky
117,Dunedin,NZ,-45.8742,170.5036,57.99,66,75,5.99,broken clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,80.6,83,20,10.36,light rain
119,Rio Gallegos,AR,-51.6226,-69.2181,51.8,87,20,8.05,few clouds
120,Grand Gaube,MU,-20.0064,57.6608,77.0,94,75,3.44,broken clouds
121,Roald,NO,62.5833,6.1333,35.6,93,75,13.8,light rain
122,Vila Velha,BR,-20.3297,-40.2925,78.01,78,20,5.75,few clouds
123,Innisfail,AU,-17.5333,146.0333,73.99,96,100,1.99,overcast clouds
124,Kilindoni,TZ,-7.9139,39.6668,80.35,80,95,14.18,moderate rain
125,Ahuimanu,US,21.4447,-157.8378,78.8,53,75,14.97,broken clouds
126,Te Horo,NZ,-40.8084,175.1233,64.99,78,2,4.0,clear sky
127,Tazovskiy,RU,67.4667,78.7,28.18,94,100,15.37,overcast clouds
128,Port Blair,IN,11.6667,92.75,79.9,77,87,3.78,overcast clouds
129,Hithadhoo,MV,-0.6,73.0833,82.99,62,98,8.79,overcast clouds
130,Caxito,AO,-8.5785,13.6643,78.8,78,75,18.41,moderate rain
131,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,94,20,1.14,few clouds
132,Avarua,CK,-21.2078,-159.775,82.4,69,75,13.8,broken clouds
133,Saint-Philippe,RE,-21.3585,55.7679,77.0,69,0,5.75,clear sky
134,Edd,ER,13.9297,41.6925,87.49,25,51,20.15,broken clouds
135,Thompson,CA,55.7435,-97.8558,41.0,52,40,5.75,scattered clouds
136,Half Moon Bay,US,37.4636,-122.4286,66.99,82,90,10.36,haze
137,Kungurtug,RU,50.5994,97.5228,21.43,86,5,2.1,clear sky
138,Fethiye,TR,36.6217,29.1164,64.4,77,20,8.05,few clouds
139,Dzhebariki-Khaya,RU,62.2167,135.8,-3.8,93,100,3.13,overcast clouds
140,Arica,CL,-18.475,-70.3042,69.8,78,0,8.05,clear sky
141,Provideniya,RU,64.3833,-173.3,6.8,61,0,6.71,clear sky
142,Floresta,BR,-8.6011,-38.5686,79.93,54,22,20.83,few clouds
143,Abu Samrah,SY,35.3029,37.1841,68.43,22,49,13.33,scattered clouds
144,Shingu,JP,33.7333,135.9833,54.21,81,76,3.87,broken clouds
145,Ulladulla,AU,-35.35,150.4667,68.0,100,40,3.67,scattered clouds
146,Gori,GE,41.9842,44.1158,47.17,81,59,4.03,broken clouds
147,Pochutla,MX,15.7432,-96.4661,84.99,70,90,9.22,overcast clouds
148,Mogadishu,SO,2.0371,45.3438,81.59,73,17,11.9,few clouds
149,Carnarvon,AU,-24.8667,113.6333,75.2,78,70,11.5,broken clouds
150,Riyadh,SA,24.6877,46.7219,73.4,15,0,2.44,clear sky
151,Vaini,TO,-21.2,-175.2,80.6,69,20,10.36,few clouds
152,Tabuk,PH,17.4189,121.4443,71.8,77,44,3.04,scattered clouds
153,Souillac,MU,-20.5167,57.5167,77.0,94,75,3.44,light rain
154,Zabid,YE,14.1951,43.3152,79.11,64,14,2.84,few clouds
155,Angoche,MZ,-16.2325,39.9086,75.78,72,43,9.01,scattered clouds
156,San Angelo,US,31.4638,-100.437,87.8,29,1,20.71,clear sky
157,Cam Ranh,VN,11.9214,109.1591,77.0,78,20,4.61,few clouds
158,Houma,US,29.5958,-90.7195,79.0,78,40,17.27,scattered clouds
159,Manokwari,ID,-0.8667,134.0833,80.02,78,97,1.68,overcast clouds
160,Darnah,LY,32.767,22.6367,58.44,85,4,13.71,clear sky
161,Yakima,US,46.4665,-120.6678,68.0,20,1,4.61,clear sky
162,Tafresh,IR,34.692,50.013,52.2,33,3,4.25,clear sky
163,Bonfim,BR,3.0833,-59.95,75.2,94,90,9.22,moderate rain
164,Beringovskiy,RU,63.05,179.3167,0.57,83,10,8.03,clear sky
165,Nautla,MX,20.2167,-96.7833,79.54,67,69,19.64,broken clouds
166,Nabire,ID,-3.3667,135.4833,78.03,89,100,2.51,overcast clouds
167,Eydhafushi,MV,5.1033,73.0708,83.48,67,100,7.11,overcast clouds
168,Tasiilaq,GL,65.6145,-37.6368,23.0,86,75,19.57,broken clouds
169,Wukari,NG,7.85,9.7833,84.51,56,85,9.66,overcast clouds
170,Gat,IL,31.61,34.7642,69.01,46,85,2.17,overcast clouds
171,Coahuayana,MX,18.7333,-103.6833,80.6,50,40,7.18,scattered clouds
172,San Patricio,US,28.017,-97.5169,79.0,65,40,32.21,scattered clouds
173,Vostok,RU,46.4856,135.8833,24.12,80,99,7.99,snow
174,Mopti,ML,14.6667,-4.0,91.4,18,0,4.61,clear sky
175,Dakar,SN,14.6937,-17.4441,71.6,73,0,11.5,clear sky
176,Pocri,PA,8.2667,-80.55,89.6,51,40,19.57,scattered clouds
177,Jiayuguan,CN,39.8167,98.3,40.3,52,0,2.24,clear sky
178,Erzin,TR,36.9559,36.2,63.0,60,18,15.99,few clouds
179,Gilgit,PK,35.9221,74.3087,49.5,97,100,1.39,overcast clouds
180,San Quintin,MX,30.4833,-115.95,64.85,65,92,20.65,overcast clouds
181,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,69,20,10.36,heavy intensity rain
182,Plettenberg Bay,ZA,-34.0527,23.3716,63.39,73,91,3.15,overcast clouds
183,San Cristobal,VE,7.7669,-72.225,86.0,62,40,9.22,scattered clouds
184,Ust-Omchug,RU,61.15,149.6333,4.78,92,99,3.27,overcast clouds
185,Bani,DO,18.2833,-70.3333,75.2,94,75,6.91,broken clouds
186,Okato,NZ,-39.2,173.8833,61.0,94,1,2.21,clear sky
187,Cherskiy,RU,68.75,161.3,-9.29,86,22,0.96,few clouds
188,Am Timan,TD,11.0297,20.2827,87.42,12,5,6.91,clear sky
189,Caravelas,BR,-17.7125,-39.2481,74.88,69,2,4.81,clear sky
190,Luganville,VU,-15.5333,167.1667,82.54,75,70,10.56,broken clouds
191,Uyemskiy,RU,64.4743,40.8524,32.0,93,40,4.47,scattered clouds
192,Saiki,JP,32.95,131.9,51.8,62,20,4.61,few clouds
193,Togur,RU,58.3631,82.8265,32.14,90,100,12.93,overcast clouds
194,Port Macquarie,AU,-31.4333,152.9167,71.01,99,56,1.01,broken clouds
195,Castro,BR,-24.7911,-50.0119,59.2,94,49,4.65,scattered clouds
196,Mangai,CD,-4.05,19.5333,71.73,95,100,0.98,overcast clouds
197,Vao,NC,-22.6667,167.4833,75.74,64,93,14.47,overcast clouds
198,Lancaster,US,40.2504,-76.2499,71.6,24,1,10.36,clear sky
199,Maryville,US,35.7565,-83.9705,77.0,31,20,6.91,few clouds
200,Boguchany,RU,58.3814,97.4531,37.17,95,96,5.82,overcast clouds
201,Port Elizabeth,ZA,-33.918,25.5701,60.8,94,0,2.3,clear sky
202,Luderitz,NA,-26.6481,15.1594,62.37,77,0,8.66,clear sky
203,Chuy,UY,-33.6971,-53.4616,67.3,88,8,7.52,clear sky
204,Masvingo,ZW,-20.0637,30.8277,58.69,64,0,7.43,clear sky
205,Pitimbu,BR,-7.4706,-34.8086,78.8,83,0,8.05,clear sky
206,Haines Junction,CA,60.7522,-137.5108,19.4,42,100,9.22,light snow
207,Sambava,MG,-14.2667,50.1667,77.34,87,100,5.39,light rain
208,Mehamn,NO,71.0357,27.8492,31.44,81,99,22.75,overcast clouds
209,East London,ZA,-33.0153,27.9116,65.93,81,54,14.23,broken clouds
210,Kieta,PG,-6.2167,155.6333,81.14,83,100,4.14,moderate rain
211,Victoria,HK,22.2855,114.1577,73.0,82,86,5.99,overcast clouds
212,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,75.2,93,76,0.69,broken clouds
213,Khargone,IN,21.8167,75.6,83.53,23,0,8.28,clear sky
214,Puebloviejo,CO,10.9938,-74.2844,87.8,70,75,3.44,broken clouds
215,Nuuk,GL,64.1835,-51.7216,24.8,93,75,13.8,broken clouds
216,Laguna,US,38.421,-121.4238,77.0,38,1,3.44,clear sky
217,Isangel,VU,-19.55,169.2667,84.2,70,20,13.8,few clouds
218,Lasa,IT,46.6166,10.7002,21.2,73,0,5.75,clear sky
219,Brae,GB,60.3964,-1.353,33.8,80,90,21.85,light snow
220,Morrope,PE,-6.5417,-80.0111,82.0,61,75,20.71,broken clouds
221,Champerico,GT,14.3,-91.9167,89.6,62,75,9.22,broken clouds
222,Baruun-Urt,MN,46.6806,113.2792,35.31,40,96,5.99,overcast clouds
223,Broome,US,42.2506,-75.833,60.8,11,1,11.5,clear sky
224,Devonport,AU,-41.1667,146.35,60.01,84,69,1.99,broken clouds
225,Nouadhibou,MR,20.931,-17.0347,64.4,82,0,13.8,clear sky
226,Coihaique,CL,-45.5752,-72.0662,57.2,67,75,4.61,light rain
227,Porto Novo,BJ,6.4965,2.6036,75.2,94,75,8.05,moderate rain
